ID,Username,ProfileURL,Title,Rating,Review Text,Review Content,Review URL,Date,Format,Verified,Helpful,Thumbnails,Images,Video,Scraped At
R1GOLXV2NQ3J71,Arun K S,https://www.amazon.in/gp/profile/amzn1.account.AH57AMU56CA2I2R2YS57CKDN3MLA,Good product,5,5.0 out of 5 stars,"Nice product, meeting the expectations. Fair price, powerful motor, fair shaving. Close skin cut.",https://www.amazon.in/gp/customer-reviews/R1GOLXV2NQ3J71/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Reviewed in India on 4 March 2026,,Verified Purchase,,"https://m.media-amazon.com/images/I/71VUsP8A42L._SY88.jpg
https://m.media-amazon.com/images/I/71uTKrD87KL._SY88.jpg
https://m.media-amazon.com/images/I/61oDrT1XcUL._SY88.jpg","https://m.media-amazon.com/images/I/71VUsP8A42L.jpg
https://m.media-amazon.com/images/I/71uTKrD87KL.jpg
https://m.media-amazon.com/images/I/61oDrT1XcUL.jpg",,2026-05-17T09:04:04.781Z
R1XTJRXJMY204V,Tanusree,https://www.amazon.in/gp/profile/amzn1.account.AHEJBHYCJKQFLSBUGDEFKJAHHMXQ,Worst product,1,1.0 out of 5 stars,After using 3 months it's not a good product which will last long...suddenly that was broken 2 days back which I was using. This kind of product should not be entertained without proper quality check. Requesting amazon please look into this matter going forward.,https://www.amazon.in/gp/customer-reviews/R1XTJRXJMY204V/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Reviewed in India on 24 April 2026,,Verified Purchase,One person found this helpful,"","",,2026-05-17T09:04:04.781Z
R39UY88UZ8W8EY,Iqbal Singh Aulakh,https://www.amazon.in/gp/profile/amzn1.account.AHGWFND3FQX5RVTBDYWIARPYB2WA,Excellent,5,5.0 out of 5 stars,Excellent,https://www.amazon.in/gp/customer-reviews/R39UY88UZ8W8EY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Reviewed in India on 22 April 2026,,Verified Purchase,,"","",,2026-05-17T09:04:04.781Z
R1RYJ1I7CUQPY2,Varun K.,https://www.amazon.in/gp/profile/amzn1.account.AFMC26KDY24PW7EGOKGISXW2UFMQ,Good alternative oh 1blade,4,4.0 out of 5 stars,A great alternative of OneBlade. but Blade replacements are half rhe price of trimmer so Beware of that.,https://www.amazon.in/gp/customer-reviews/R1RYJ1I7CUQPY2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Reviewed in India on 17 April 2026,,Verified Purchase,One person found this helpful,"","",,2026-05-17T09:04:04.781Z
R1CU90LA0XSYF7,Murugesh,https://www.amazon.in/gp/profile/amzn1.account.AG4WUFYIVZGBORAJLZOQBL323DSQ,Didn’t have long life,3,3.0 out of 5 stars,"Worked well but the tip broke , looks like the clamp on side broke and was not able to fix it .Used it judiciously, but anyways..",https://www.amazon.in/gp/customer-reviews/R1CU90LA0XSYF7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Reviewed in India on 20 February 2026,,Verified Purchase,5 people found this helpful,"https://m.media-amazon.com/images/I/61932MqkkgL._SY88.jpg
https://m.media-amazon.com/images/I/71n7oY35dlL._SY88.jpg","https://m.media-amazon.com/images/I/61932MqkkgL.jpg
https://m.media-amazon.com/images/I/71n7oY35dlL.jpg",,2026-05-17T09:04:04.781Z
R29411KFJ2SWIL,Pratishtha Verma,https://www.amazon.in/gp/profile/amzn1.account.AGP5HXVSZNJU6NLJOMJVWUGASSNA,Value for money,5,5.0 out of 5 stars,amazed by its power and runtime. very smooth and effective.,https://www.amazon.in/gp/customer-reviews/R29411KFJ2SWIL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Reviewed in India on 8 March 2026,,Verified Purchase,,"https://m.media-amazon.com/images/I/710SuKwn30L._SY88.jpg","https://m.media-amazon.com/images/I/710SuKwn30L.jpg",,2026-05-17T09:04:04.781Z
RJDBW0Y8XPSCL,Dc,https://www.amazon.in/gp/profile/amzn1.account.AG2PNSA7U6QU3JD2DDIOH72SCL2A,Extremely Poor Build Quality – Broke Within 2 Months,1,1.0 out of 5 stars,"I purchased this Bombay Shaving Company trimmer from Amazon in September 2025, and within less than two months of normal use, the blade attachment holder broke completely. Because of this, the blade no longer fits or locks properly, making the trimmer unusable.I always handled it carefully and only removed the blade for cleaning as per the instructions, but the plastic part that holds the blade cracked instantly. This clearly shows very low-quality material and weak build for a product priced around ₹1600–₹1700.I request Amazon and Bombay Shaving Company to please replace or repair this defective product. I have attached photos showing the damage for reference.Such quality issues are unexpected from a reputed brand, kindly take this matter seriously and resolve it at the earliest.",https://www.amazon.in/gp/customer-reviews/RJDBW0Y8XPSCL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Reviewed in India on 31 October 2025,,Verified Purchase,15 people found this helpful,"https://m.media-amazon.com/images/I/61vncFBw15L._SY88.jpg
https://m.media-amazon.com/images/I/61tfTAxZ89L._SY88.jpg","https://m.media-amazon.com/images/I/61vncFBw15L.jpg
https://m.media-amazon.com/images/I/61tfTAxZ89L.jpg",,2026-05-17T09:04:04.781Z
R1S05LFMLKPHP8,Murali,https://www.amazon.in/gp/profile/amzn1.account.AEXJ7UIUAHU4KVIMF4USGQ2IIIMQ,Worst product,5,5.0 out of 5 stars,Very very bad product,https://www.amazon.in/gp/customer-reviews/R1S05LFMLKPHP8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Reviewed in India on 9 March 2026,,Verified Purchase,One person found this helpful,"","",,2026-05-17T09:04:04.781Z
RDUC0WPFYTA9T,Awesome product very nice...thnx amazon 👌,https://www.amazon.in/gp/profile/amzn1.account.AEASEPRKJCMWFIEHHIBTKJMN7AIQ,Broken handle,4,4.0 out of 5 stars,The product was good but the head of the blade was broken while in use...So it was a very bad experience.plzz make this product body little bit hard nd strong.,https://www.amazon.in/gp/customer-reviews/RDUC0WPFYTA9T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Reviewed in India on 2 January 2026,,Verified Purchase,,"","",,2026-05-17T09:04:04.781Z
R17H4JMY00XYOT,KRISHNA,https://www.amazon.in/gp/profile/amzn1.account.AGXTL3GDQ2E7LP5B6XYNCBWRVFHQ,Beard Trimmer,4,4.0 out of 5 stars,Very nice and slim product. Easy to use.,https://www.amazon.in/gp/customer-reviews/R17H4JMY00XYOT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Reviewed in India on 18 December 2025,,Verified Purchase,,"","",,2026-05-17T09:04:04.781Z
